Part_ID, Congruent_RT_Mean, Incongruent_RT_Mean, Congruent_ACC, Incongruent_ACC, Congruent_EFF, Incongruent_EFF, Global_RT_Mean, Local_RT_Mean, Global_ACC, Local_ACC, Global_EFF, Local_EFF, Global_Congruent_RT, Global_Incongruent_RT, Local_Congruent_RT, Local_Incongruent_RT, Global_Congruent_ACC, Global_Incongruent_ACC, Local_Congruent_ACC, Local_Incongruent_ACC, Global_Congruent_EFF, Global_Incongruent_EFF, Local_Congruent_EFF, Local_Incongruent_EFF 
32, 0.6072, 0.5982, 0.2841, 1.1268, 0.4989, -0.0248, 0.8827, 0.2472, 0.8045, 0.8109, -0.1432, 0.4844, 0.7681, 0.9219, 0.3049, 0.1196, -0.3137, 0.9834, 0.7726, 0.6460, 0.7618, 0.1810, 0.0473, -0.2595
33, 2.2959, 1.5911, -1.1323, -0.4148, 2.4995, 1.4299, 1.4537, 2.2975, -0.8829, -0.3019, 2.0121, 1.5489, 1.7177, 1.1937, 2.5870, 1.7742, -1.5258, -0.4226, -0.3633, -0.2088, 1.9719, 1.0247, 2.5871, 0.9798
34, -0.1625, -0.2721, -2.3245, 0.1214, 0.3810, -0.3059, -0.3106, -0.0913, -0.0392, -1.0438, 0.3244, -0.2847, -0.0729, -0.4904, -0.2418, 0.0822, -1.4323, 0.4944, -2.2564, -0.3203, 0.2291, -0.6029, 0.4636, 0.0988
35, -0.8833, -1.1767, 0.3590, 0.8057, -0.9174, -1.2352, -0.9639, -1.0332, 1.2263, 0.0690, -0.9065, -1.1400, -1.0240, -0.8551, -0.5329, -1.3422, 0.9995, 0.9834, -0.3633, 0.2186, -1.1259, -1.0061, -0.4172, -0.8701
36, -0.7004, -0.7916, 1.0624, -0.0591, -0.8840, -0.6501, -0.6118, -0.8275, -0.0392, 0.4399, -0.8660, -0.5452, -0.5948, -0.6155, -0.7230, -0.8270, 0.9995, -0.2663, 0.7726, 0.2015, -0.7449, -0.4176, -0.9012, -0.5929
37, -1.8408, -1.3298, 1.0624, 0.1214, -1.9335, -1.1383, -1.4603, -1.5791, 0.3826, 0.4399, -1.4696, -1.3708, -1.8923, -0.9898, -1.4675, -1.4849, 0.9995, -0.0391, 0.7726, 0.1830, -1.8964, -0.7784, -1.5883, -0.9342
38, -0.8095, -0.2902, 1.0624, 1.1268, -0.9843, -0.6784, -0.3969, -0.6574, 1.2263, 0.8109, -0.8551, -0.6792, -0.7403, -0.1843, -0.7987, -0.3149, 0.9995, 0.9834, 0.7726, 0.6460, -0.8740, -0.5579, -0.9711, -0.4795
39, 0.7094, 0.1281, -0.5280, -2.2990, 0.7929, 1.1844, 0.7813, -0.1157, -2.5704, -1.0438, 0.3030, 1.5886, 1.0328, 0.5478, 0.2153, -0.3905, -0.4279, -2.3492, -0.4127, -1.0003, 1.0344, 1.7012, 0.3187, 0.1294
40, -1.9008, -1.3831, -0.9697, 0.1214, -1.6390, -1.1803, -1.9199, -1.1286, -0.4611, 0.0690, -0.9847, -1.5891, -2.1837, -1.5852, -1.1878, -0.9498, -1.2646, -0.0878, -0.3178, 0.2015, -1.8209, -1.2013, -1.0596, -0.6577
41, -0.3857, -0.8580, 0.2672, 0.5558, -0.4312, -0.9147, -0.4370, -0.8393, 0.8045, 0.0690, -0.7476, -0.6102, -0.1933, -0.5906, -0.5429, -1.0055, -0.4927, 0.9834, 0.7726, -0.2088, -0.0897, -0.8294, -0.7350, -0.5450
42, 2.4578, 2.6271, -0.3179, 0.1428, 2.4130, 1.9642, 2.7066, 2.0629, -0.4611, 0.4399, 1.4552, 2.4986, 2.5317, 2.6217, 2.0411, 1.9851, -0.4279, -0.2663, -0.1361, 0.6460, 2.4251, 2.0151, 1.9762, 0.6851
43, 0.4616, 0.8866, -1.3762, -0.0294, 0.7653, 0.6739, 0.3466, 0.8435, -0.8829, 0.0690, 0.6320, 0.5491, 0.4667, 0.2735, 0.3662, 1.5932, -2.3966, -0.0878, -0.1068, 0.0611, 0.9891, 0.1711, 0.3681, 0.7493
